symbol,ds,current_variable_debt
USDC,2022-10-06,345164615.740011
USDC,2022-10-05,345603074.044336
USDC,2022-10-04,339174689.415809
USDC,2022-10-03,337586500.48862
USDC,2022-10-02,334004440.800894
USDC,2022-10-01,335685236.987707
USDC,2022-09-30,336258642.594302
USDC,2022-09-29,336288560.974384
USDC,2022-09-28,334874608.327102
USDC,2022-09-27,341648230.261428
USDC,2022-09-26,341988506.852486
USDC,2022-09-25,332379144.283193
USDC,2022-09-24,329355755.828336
USDC,2022-09-23,326880496.340801
USDC,2022-09-22,323168652.756356
USDC,2022-09-21,317914860.202268
USDC,2022-09-20,315466059.925646
USDC,2022-09-19,312920083.429119
USDC,2022-09-18,321649944.233454
USDC,2022-09-17,327911630.838808
USDC,2022-09-16,333675464.887093
USDC,2022-09-15,340263108.941153
USDC,2022-09-14,323081964.486093
USDC,2022-09-13,308481489.036105
USDC,2022-09-12,337628641.525655
USDC,2022-09-11,341196007.535574
USDC,2022-09-10,329253466.518401
USDC,2022-09-09,325900315.028568
USDC,2022-09-08,330996613.863641
USDC,2022-09-07,332802429.356173
USDC,2022-09-06,324790700.487249
USDC,2022-09-05,327497634.966435
USDC,2022-09-04,331874841.45276
USDC,2022-09-03,331885442.635496
USDC,2022-09-02,331909845.852188
USDC,2022-09-01,373196648.11488
USDC,2022-08-31,373479807.617635
USDC,2022-08-30,373761525.072635
USDC,2022-08-29,370235445.90578
USDC,2022-08-28,358274624.030105
USDC,2022-08-27,360082954.201492
USDC,2022-08-26,372657746.439804
USDC,2022-08-25,372932249.347565
USDC,2022-08-24,369269370.16989
USDC,2022-08-23,373436196.872878
USDC,2022-08-22,373732288.211289
USDC,2022-08-21,373132243.091961
USDC,2022-08-20,372193242.842389
USDC,2022-08-19,372995690.600704
USDC,2022-08-18,369079358.351906
USDC,2022-08-17,365562586.382882
USDC,2022-08-16,362155010.41275
USDC,2022-08-15,355567916.556964
USDC,2022-08-14,358300050.885279
USDC,2022-08-13,342055948.892422
USDC,2022-08-12,350000147.862642
USDC,2022-08-11,368875639.63409
USDC,2022-08-10,385535261.733978
USDC,2022-08-09,385116134.647084
USDC,2022-08-08,391313455.794119
USDC,2022-08-07,389031570.190795
USDC,2022-08-06,388599117.624299
USDC,2022-08-05,378103376.452716
USDC,2022-08-04,369825799.398021
USDC,2022-08-03,367591350.801303
USDC,2022-08-02,373957369.426543
USDC,2022-08-01,367398112.833787
USDC,2022-07-31,367122139.243659
USDC,2022-07-30,366739509.682899
USDC,2022-07-29,363798561.374113
USDC,2022-07-28,358767022.717997
USDC,2022-07-27,355940115.180322
USDC,2022-07-26,351447438.414797
USDC,2022-07-25,348571876.863405
USDC,2022-07-24,342629489.937971
USDC,2022-07-23,342223791.955635
USDC,2022-07-22,342589474.883264
USDC,2022-07-21,336735894.807169
USDC,2022-07-20,335109280.540471
USDC,2022-07-19,320207049.317261
USDC,2022-07-18,338024387.959564
USDC,2022-07-17,307462488.425238
USDC,2022-07-16,305452894.007851
USDC,2022-07-15,302147879.685987
USDC,2022-07-14,281878302.705257
USDC,2022-07-13,282771485.067202
USDC,2022-07-12,277173113.651183
USDC,2022-07-11,280163973.909564
USDC,2022-07-10,279209168.279246
USDC,2022-07-09,279384155.263135
USDC,2022-07-08,267703386.281173
USDC,2022-07-07,266936530.464927
USDC,2022-07-06,268131419.804773
USDC,2022-07-05,265878736.498427
USDC,2022-07-04,222239972.344536
USDC,2022-07-03,188301213.936995
USDC,2022-07-02,187446779.794214
USDC,2022-07-01,185933762.493376
USDC,2022-06-30,188863063.052748
USDC,2022-06-29,198908594.231897
USDC,2022-06-28,198289422.411813
USDC,2022-06-27,195157780.40188
USDC,2022-06-26,196505729.783691
USDC,2022-06-25,182566464.93242
USDC,2022-06-24,180795584.809661
USDC,2022-06-23,185403990.928412
USDC,2022-06-22,183260276.685742
USDC,2022-06-21,184461912.22978
USDC,2022-06-20,190716058.954113
USDC,2022-06-19,185625454.745543
USDC,2022-06-18,188500501.100324
USDC,2022-06-17,227150022.870428
USDC,2022-06-16,298653007.353568
USDC,2022-06-15,310329688.857622
USDC,2022-06-14,325278967.699502
USDC,2022-06-13,331640795.696603
USDC,2022-06-12,417287201.33624
USDC,2022-06-11,431290550.759908
USDC,2022-06-10,430693974.869461
USDC,2022-06-09,428312737.853393
USDC,2022-06-08,429570122.598654
USDC,2022-06-07,412570295.975437
USDC,2022-06-06,439797989.737391
USDC,2022-06-05,446253082.259206
USDC,2022-06-04,448209424.464607
USDC,2022-06-03,448670532.916049
USDC,2022-06-02,451008159.335378
USDC,2022-06-01,450637286.24099
USDC,2022-05-31,447176498.05855
USDC,2022-05-30,437842485.154154
USDC,2022-05-29,424597948.368414
USDC,2022-05-28,424633103.670958
USDC,2022-05-27,427703355.901679
USDC,2022-05-26,428796946.444818
USDC,2022-05-25,448524386.871318
USDC,2022-05-24,451360137.642994
USDC,2022-05-23,465705334.889493
USDC,2022-05-22,462615744.120766
USDC,2022-05-21,445196521.46984
USDC,2022-05-20,444478362.831576
USDC,2022-05-19,442569400.384336
USDC,2022-05-18,425801152.404614
USDC,2022-05-17,426351831.547142
USDC,2022-05-16,426613052.99186
USDC,2022-05-15,400579158.520704
USDC,2022-05-14,393068087.086157
USDC,2022-05-13,422064351.681119
USDC,2022-05-12,409439650.895976
USDC,2022-05-11,439403029.222647
USDC,2022-05-10,609218291.780932
USDC,2022-05-09,601866777.096479
USDC,2022-05-08,698692942.565759
USDC,2022-05-07,744986440.593483
USDC,2022-05-06,749873542.475895
USDC,2022-05-05,842165871.416797
USDC,2022-05-04,848506265.473355
USDC,2022-05-03,856003881.081365
USDC,2022-05-02,853392868.407205
USDC,2022-05-01,859337853.404065
USDC,2022-04-30,873049274.266262
USDC,2022-04-29,879595538.368559
USDC,2022-04-28,879502560.852002
USDC,2022-04-27,1238488934.581561
USDC,2022-04-26,1269730145.220248
USDC,2022-04-25,1290762279.404132
USDC,2022-04-24,1298114262.121247
USDC,2022-04-23,1308068892.270426
USDC,2022-04-22,1309236056.422588
USDC,2022-04-21,1308926614.987058
USDC,2022-04-20,1296335090.393227
USDC,2022-04-19,1295653334.486512
USDC,2022-04-18,1295412784.250206
USDC,2022-04-17,1295840814.488864
USDC,2022-04-16,1296185484.803159
USDC,2022-04-15,1296669052.585231
USDC,2022-04-14,1290280046.580665
USDC,2022-04-13,1278202141.125137
USDC,2022-04-12,1277535494.749541
USDC,2022-04-11,1302164182.991804
USDC,2022-04-10,1311290458.671732
USDC,2022-04-09,1313081527.367504
USDC,2022-04-08,1323365510.280786
USDC,2022-04-07,1320296099.513113
USDC,2022-04-06,1336943888.557213
USDC,2022-04-05,1328059241.459657
USDC,2022-04-04,1294595130.127115
USDC,2022-04-03,1291999783.504132
USDC,2022-04-02,1283019782.840754
USDC,2022-04-01,1288630035.615846
USDC,2022-03-31,1307052867.05474
USDC,2022-03-30,1293752950.324045
USDC,2022-03-29,1297750334.521452
USDC,2022-03-28,1401604514.565662
USDC,2022-03-27,1525839061.968429
USDC,2022-03-26,1507711277.274861
USDC,2022-03-25,1509390219.913883
USDC,2022-03-24,1483163292.515077
USDC,2022-03-23,1503942305.608931
USDC,2022-03-22,1500359108.437617
USDC,2022-03-21,1488978274.891882
USDC,2022-03-20,1483617498.086843
USDC,2022-03-19,1409585042.059815
USDC,2022-03-18,1492297847.731046
USDC,2022-03-17,1508793522.862154
USDC,2022-03-16,1511277351.781853
USDC,2022-03-15,1519031078.597779
USDC,2022-03-14,1531274436.808072
USDC,2022-03-13,1562667915.146442
USDC,2022-03-12,1560327342.269521
USDC,2022-03-11,1561889726.317049
USDC,2022-03-10,1561893135.790184
USDC,2022-03-09,1594239818.089952
USDC,2022-03-08,1576349194.546312
